,Date,Study,Study Link,Journal,Therapeutic method(s) utilized/assessed,Sample Size,Severity of Disease,General Outcome/Conclusion Excerpt,Primary Endpoint(s) of Study,Clinical Improvement (Y/N),Study Type,Added On
18,2020-03-18,A Trial of Lopinavir-Ritonavir in Adults Hospitalized with Severe COVID-19,https://doi.org/10.1056/NEJMoa2001282,New England Journal of Medicine,Lopinavir-Ritonavir,199,Severe,"In hospitalized adult patients with severe Covid-19, no benefit was observed with lopinavir–ritonavir treatment beyond standard care. Future trials in patients with severe illness may help to confirm or exclude the possibility of a treatment benefit.","Time to clinical improvement, defined as the time from randomization to an improvement of two points on a 7 category ordinal scale or live discharge from hospital",N,Prospective Observational Study,4/22/2020
19,2020-03-18,Experimental Treatment with Favipiravir for COVID-19: An Open-Label Control Study,https://doi.org/10.1016/j.eng.2020.03.007,Engineering,Favipiravir,80,Varied,"After adjustment for potential confounders, the FPV arm also showed a significantly higher improvement rate in chest imaging. Multivariable Cox regression showed that FPV was independently associated with faster viral clearance. In addition, fewer adverse events were found in the FPV arm than in the control arm. In this open-label before-after controlled study, FPV showed better therapeutic responses on COVID-19 in terms of disease progression and viral clearance. These preliminary clinical results provide useful information of treatments for SARS-CoV-2 infection.",Viral clearance and improvement of chest CT scans on day 14 after treatment,Y,Prospective Observational Study,4/22/20
20,2020-03-17,"Medication Patterns and Disease Progression Among 165 Patients with Coronavirus Disease 2019 (COVID-19) in Wuhan, China: A Single-Centered, Retrospective, Observational Study",http://dx.doi.org/10.2139/ssrn.3551323,Preprints with The Lancet,"Antivirals, antibacterials, glucocorticoids, and traditional Chinese medicine",165,Varied,"Medication patterns for COVID-19 were diverse but generally complied with the existing guideline. A potential therapeutic time window of 72 hours might exist in non-severe patients, especially for antiviral drugs. Additionally, the safety issue should not be ignored. Funding National Natural Science Foundation of China.",-,-,Retrospective Observational Study,4/22/2020
21,2020-03-16,Breakthrough: Chloroquine phosphate has shown apparent efficacy in treatment of COVID-19 associated pneumonia in clinical studies,https://doi.org/10.5582/bst.2020.01047,Journal of International Research and Cooperation Association for Bio & Socio-Sciences Advancement,Chloroquine phosphate,-,-,"Chloroquine phosphate, an old drug for treatment of malaria, is shown to have apparent efficacy and acceptable safety against COVID-19 associated pneumonia in multicenter clinical trials conducted in China. The drug is recommended to be included in the next version of the Guidelines for the Prevention, Diagnosis, and Treatment of Pneumonia Caused by COVID-19 issued by the National Health Commission of the People's Republic of China for treatment of COVID-19 infection in larger populations in the future.",-,Y,Expert Review,4/22/2020
22,2020-03-12,"Early, low-dose and short-term application of corticosteroid treatment in patients with severe COVID-19 pneumonia: single-center experience from Wuhan, China",https://doi.org/10.1101/2020.03.06.20032342,medRxiv Preprint,Corticosteroids,46,Severe,"The average number of days for body temperature back to the normal range was significantly shorter in patients with administration of methylprednisolone when compared to those without administration of methylprednisolone (2.06 ± 0.28 vs. 5.29 ± 0.70, P=0.010). The patients with administration of methylprednisolone had a faster improvement of SpO2, while patients without administration of methylprednisolone had a significantly longer interval of using supplemental oxygen therapy (8.2days[IQR 7.0-10.3] vs. 13.5days(IQR 10.3-16); P<0.001). In terms of chest CT, the absorption degree of the focus was significantly better in patients with administration of methylprednisolone. Conclusion: Our data indicate that in patients with severe COVID-19 pneumonia, early, low-dose and short-term application of corticosteroid was associated with a faster improvement of clinical symptoms and absorption of lung focus.","Body temperature, SpO2, time course of supplemental oxygen therapy, and CT scan findings.",Y,Retrospective Observational Study,4/22/2020
23,2020-03-11,Clinical and microbiological effect of a combination of hydroxychloroquine and azithromycin in 80 COVID-19 patients with at least a six-day follow up: A pilot observational study,https://doi.org/10.1016/j.tmaid.2020.101663,Travel Medicine and Infectious Disease,Hydroxychloroquine and azithromycin,80,Mild / moderate,"Results. All patients improved clinically except one 86 year-old patient who died, and one 74 year-old patient still in intensive care. A rapid fall of nasopharyngeal viral load was noted, with 83% negative at Day7, and 93% at Day8. Virus cultures from patient respiratory samples were negative in 97.5% of patients at Day5. Consequently patients were able to be rapidly discharged from IDU with a mean length of stay of five days. Conclusion. We believe there is urgency to evaluate the effectiveness of this potentially-life saving therapeutic strategy at a larger scale, both to treat and cure patients at an early stage before irreversible severe respiratory complications take hold and to decrease duration of carriage and avoid the spread of the disease. Furthermore, the cost of treatment is negligible.","Clinical outcome (discharge, requirement of oxygen therapy or ICU care), contagiousness as assessed by PCR and culture, and length of stay in infectious disease unit (IDU).",Y,Prospective Observational Study,4/22/2020
24,2020-03-10,A systematic review on the efficacy and safety of chloroquine for the treatment of COVID-19,https://doi.org/10.1016/j.jcrc.2020.03.005,Journal of Critical Care,Chloroquine,6 articles and 23 ongoing clinical trials,Varied,"There is rationale, pre-clinical evidence of effectiveness and evidence of safety from long-time clinical use for other indications to justify clinical research on chloroquine in patients with COVID-19. However, clinical use should either adhere to the Monitored Emergency Use of Unregistered Interventions (MEURI) framework or be ethically approved as a trial as stated by the World Health Organization. Safety data and data from high-quality clinical trials are urgently needed.",Viral load,Y,Systematic Review,4/22/2020
25,2020-03-06,A pilot study of hydroxychloroquine in treatment of patients with common coronavirus disease-19 (COVID-19),https://doi.org/10.3785/j.issn.1008-9292.2020.03.03,Journal of ZheJiang University (Medical Sciences),Hydroxychloroquine,30,MIld / moderate,"Results: One patient in HCQ group developed to severe during the treatment. On day 7, COVID-19 nucleic acid of throat swabs was negative in 13 (86.7%) cases in the HCQ group and 14 (93.3%) cases in the control group (P>0.05). The median duration from hospitalization to virus nucleic acid negative conservation...was comparable to that in the control group... The median time for body temperature normalization in HCQ group was 1 (0-2) after hospitalization, which was also comparable to that in the control group 1 (0-3). Conclusions: The prognosis of common COVID-19 patients is good. Larger sample size study are needed to investigate the effects of HCQ in the treatment of COVID-19. Subsequent research should determine better endpoint and fully consider the feasibility of experiments such as sample size.",Negative conversion rate of COVID-19 nucleic acid in respiratory pharyngeal swab on days 7 after randomization.,Y,Prospective Observational Study,4/22/2020
26,2020-03-04,Traditional Chinese medicine for COVID-19 treatment,https://dx.doi.org/10.1016%2Fj.phrs.2020.104743,Pharmacologic Research,Traditional Chinese Medicine,-,-,"Treatment practice of COVID-19 showed that early intervention of Traditional Chinese Medicine (TCM) is important way to improve cure rate, shorten the course of disease, delay disease progression and reduce mortality rate. Furthermore, the reason why TCM works is not only to inhibit the virus, but might block the infection, regulate the immune response, cut off the inflammatory storm, and promote the repair of the body. Moreover, the prevention and control measures of COVID-19 fully reflect the ideology of “preventive treatment of disease”. Apart from the epidemic diseases recorded in the Han Dynasty should be isolated, the preventive measures of TCM also include psychology, sports, diet, medication, etc.",-,Y,Expert Review,4/25/2020
27,2020-02-29,"Successful treatment of COVID-19 using extracorporeal membrane oxygenation, a case report.",https://doi.org/10.26355/eurrev_202003_20705,European Review for Medical and Pharmacological Sciences,ECMO,1,Mild / moderate,This study reported a successful example of a severe COVID-19 patient with extracorporeal membrane oxygenation (ECMO) technology in our hospital. This experience revealed that the early application of ECMO can dramatically promote the recovery of severe COVID-19 patients.,-,Y,Case Report,4/22/20
28,2020-02-19,Therapeutic options for the 2019 novel coronavirus (2019-nCoV),https://doi.org/10.1038/d41573-020-00016-0,Nature,Multiple drugs,-,-,"The rapid identification of effective interventions against 2019-nCoV is a major challenge. Given the available knowledge on their safety profiles, and in some cases efficacy against closely related coronaviruses, repurposing existing antiviral agents is a potentially important near-term strategy to tackle 2019-nCoV. Phase III trials of remdesivir have been initiated, and many other trials are being established in China to test various treatment options such as umifenovir, oseltamivir and ASC09F (Supplementary Table 1). In addition, more than 50 existing MERS and/or SARS inhibitors, such as galidesivir, the protease inhibitors GC813 and compound 3k, the helicase inhibitor SSYA10‑001 and the nucleoside analogue pyrazofurin (Supplementary Table 1) could be screened against 2019-nCoV by facilities that have appropriate biocontainment capability. However, the reported EC50 and IC50 values of existing MERS and/or SARS inhibitors are mostly in the micromolar range, and further optimization of their activities against 2019-nCoV is probably needed before agents would be ready for clinical evaluation.",-,-,Expert Review,4/22/20
29,2020-02-17,Effect of Intravenous Interferon β-1a on Death and Days Free From Mechanical Ventilation Among Patients With Moderate to Severe Acute Respiratory Distress Syndrome: A Randomized Clinical Trial.,https://doi.org/10.1001/jama.2019.22525,JAMA,IFN-β-1a,296,Varied,"Results  Among 301 patients who were randomized (mean age, 58 years; 103 women [34.2%]), 296 (98.3%) completed the trial and were included in the primary analysis. At 28 days, the median composite score of death and number of ventilator-free days at day 28 was 10 days (interquartile range, −1 to 20) in the IFN-β-1a group and 8.5 days (interquartile range, 0 to 20) in the placebo group (P = .82). There was no significant difference in 28-day mortality between the IFN-β-1a vs placebo groups (26.4% vs 23.0%; difference, 3.4% [95% CI, −8.1% to 14.8%]; P = .53). Seventy-four patients (25.0%) experienced adverse events considered to be related to treatment during the study (41 patients [28.5%] in the IFN-β-1a group and 33 [21.7%] in the placebo group).Conclusions and Relevance  Among adults with moderate or severe ARDS, intravenous IFN-β-1a administered for 6 days, compared with placebo, resulted in no significant difference in a composite score that included death and number of ventilator-free days over 28 days. These results do not support the use of IFN-β-1a in the management of ARDS.","Primary endpoint: A score combining death and number of ventilator-free days at day 28 [range: −1 for death to 27 if off ventilator on the first day). There were 16 secondary endpoints, including 28-day mortality.",N,Prospective Observational Study,4/22/20
30,2020-02-13,Potential inhibitors for 2019-nCoV coronavirus M protease from clinically approved medicines,https://dx.doi.org/10.1016%2Fj.jgg.2020.02.001,Journal of Genetics and Genomics,"A review of the following 10 predicted commercial medicines (potential inhibitors for 2019-nCoV Mpro): Colistin, Valrubicin, Icatibant, Bepotastine, Epirubicin, Epoprostenol, Vapreotide, Aprepitant, Caspofungin, and Perphenazine.",-,-,"In summary, based on the structural information of clinical effective medicines for 2019-nCoV, we have predicted a list of commercial medicines which may function as inhibitors for 2019-nCoV by targeting its main protease Mpro. Compared to lopinavir/ritonavir, most of these predicted drugs could form more hydrogen bonds with 2019-nCoV Mpro, thus may have higher mutation tolerance than lopinavir/ritonavir. It should be noted that these results were obtained solely by in silico predictions, further experiments are needed to validate the efficacy of these drugs. The binding pockets of these drugs on Mpro are conserved between SARS-CoV Mpro and 2019-nCoV Mpro, indicating the potential of these drugs as inhibitors for other coronaviruses with similar Mpro binding sites and pocket structures.",-,-,Simulation,4/22/20
31,2020-02-04,Baricitinib as potential treatment for 2019-nCoV acute respiratory disease,https://doi.org/10.1016/S0140-6736(20)30304-4,The Lancet,Baricitinib,-,-,"Because the plasma concentration of baricitinib on therapeutic dosing (either as 2 mg or 4 mg once daily) is sufficient to inhibit AAK1, we suggest it could be trialled, using an appropriate patient population with 2019-nCoV acute respiratory disease, to reduce both the viral entry and the inflammation in patients, using endpoints such as the MuLBSTA score, an early warning model for predicting mortality in viral pneumonia.",-,-,Expert Review,4/22/20
32,2020-02-04,Remdesivir and chloroquine effectively inhibit the recently emerged novel coronavirus (2019-nCoV) in vitro,https://doi.org/10.1038/s41422-020-0282-0,Nature,Remdesivir and chloroquine,-,-,"Our findings reveal that remdesivir and chloroquine are highly effective in the control of 2019-nCoV infection in vitro. Since these compounds have been used in human patients with a safety track record and shown to be effective against various ailments, we suggest that they should be assessed in human patients suffering from the novel coronavirus disease.",-,Y,Editorial,4/22/20
33,2019-12-31,Discovering drugs to treat coronavirus disease 2019 (COVID-19),https://doi.org/10.5582/ddt.2020.01012,Journal of Drug Discoveries & Therapeutics,Review of multiple potential anti-virals,-,-,"Several drugs such as chloroquine, arbidol, remdesivir, and favipiravir are currently undergoing clinical studies to test their efficacy and safety in the treatment of coronavirus disease 2019 (COVID-19) in China; some promising results have been achieved thus far. This article summarizes agents with potential efficacy against SARS-CoV-2.",-,-,Expert Review,4/22/20
