,Date,Study,Study Link,Journal,Study Type,Therapeutic method(s) utilized/assessed,Sample Size,Severity of Disease,General Outcome/Conclusion Excerpt,Primary Endpoint(s) of Study,Clinical Improvement (Y/N),Added On
10,2020-04-20,Chinese expert consensus on diagnosis and treatment of coagulation dysfunction in COVID-19,https://doi.org/10.1186/s40779-020-00247-7,Military Medical Research,Expert review,"Unfractionated heparin, LMWH, Topical citrate local anticoagulation, argatroban/bivaliruden (in COVID patients experiencing HIT), Goal-directed replacement therapy (fresh frozen plasma, platelets), recombinant factor VII, plasma exchange (in patients experiencing liver failure),",-,Severe,"Anticoagulant therapy can be utilized without anticoagulant contraindication in severe COVID-19 patients without thrombosis; In severe COVID-19 patients with coagulation dysfunction, anticoagulant therapy using unfractionated heparin/low-molecularweight heparin is recommended to reduce the depletion of coagulation substrates; For severe COVID-19 patients with coagulation dysfunction requiring continuous renal replacement therapy, unfractionated heparin/LMWH for systemic anticoagulation or no anticoagulation is recommended; Topical citrate anticoagulation is recommended for severe COVID-19 patients with active bleeding who require CRRT; For severe COVID-19 patients with coagulation dysfunction requiring external membrane oxygenation therapy, unfractionated heparin is the preferred anticoagulant and there should be more monitoring of their coagulation status; If heparin-induced thrombocytopenia occurs in severe COVID-19 patients, the anticoagulant argatroban/bivalirudin is recommended; Goal-directed replacement therapy is recommended for severe COVID-19 patients with coagulation dysfunction (fresh frozen plasma, platelets); If bleeding is not effectively stopped after active replacement therapy in severe COVID-19 patients, recombinant factor VII is recommended; In severe COVID-19 patients with coagulation dysfunction experiencing liver failure, plasma exchange is recommended; For severe COVID-19 patients with coagulation dysfunction, heparin flush during vascular access placement should be avoided.",-,-,5/11/2020
11,2020-04-20,Potential therapeutic effects of dipyridamole in the severely ill patients with COVID-1,https://doi.org/10.1016/j.apsb.2020.04.008,Acta Pharmaceutica Sinica B,Prospective observational study,Dipyramidole,31,Severe: The diagnosis of severe case was made if patients met any of the following criteria: (1) respiratory rate ≥ 30 breaths/min; (2) SpO2≤93% while breathing room air; (3) PaO2/FiO2≤300 mmHg. A critically ill case  was diagnosed if any of the following criteria was met: (1) respiratory failure which requiring mechanical ventilation; (2) shock; (3) combined with other organ failure and need to be admitted to  ICU.,"Dipyridamole supplementation was associated with significantly decreased concentrations of D-dimers, increased lymphocyte and platelet recovery in the circulation, and markedly improved clinical outcomes in comparison to the control patients.","A retrospective review of the medical records of these patients was conducted to retrieve coagulation indexes and plateletparameters, including prothrombin time (PT), activated partialthromboplastin time (APTT), plasma fibrinogen (FIB), D-dimer,platelet (PLT) count, and mean platelet volume (MPV). Systemic inflammation was assessed according to the C-reactive protein (CRP),  procalcitonin (PCT),  and  interleukin  6  (IL-6) concentrations.",Y,4/26/2020
12,2020-04-15,The potential of low molecular weight heparin to mitigate cytokine storm in severe COVID-19 patients: a retrospective clinical study,https://doi.org/10.1101/2020.03.28.20046144,MedRxiv,Retrospective observational study,LMWH,42,-,LMWH improves the coagulation dysfunction of COVID-19 patients and exerts anti-inflammatory effects by reducing IL-6 and increasing lymphocyte %.,"The basic information, complete blood count, coagulation profile, inflammatory cytokines, and serum biochemical indicators (including liver function, kidney function, lactate dehydrogenase, C-reactive protein (CRP) and electrolytes) of 42 patients with COVID-19 were retrospectively analyzed.",Y,4/26/2020
13,2020-04-10,Incidence of thrombotic complications in critically ill ICU patients with COVID-19,https://doi.org/10.1016/j.thromres.2020.04.013,Thrombosis Research,Cross-sectional study,Thromboprophylaxis,184,ICU-level,"The 31% incidence of thrombotic complications in ICU patients with COVID-19 infections is remarkably high. Our findings reinforce the recommendation to strictly apply pharmacological thrombosis prophylaxis in all COVID-19 patients admitted to the ICU, and are strongly suggestive of increasing the prophylaxis towards high-prophylactic doses, even in the absence of randomized evidence.","We evaluated the incidence of the composite outcome of venous thromboembolism (VTE) and arterial thrombotic complications in all COVID-19 patients admitted to the ICU of 2 Dutch university hospitals and 1 Dutch teaching hospital. Our composite outcome consisted of acute pulmonary embolism (PE), deep-vein thrombosis (DVT), ischemic stroke, myocardial infarction or systemic arterial embolism",-,5/23/2020
14,2020-04-09,Attention should be paid to venous thromboembolism prophylaxis in the management of COVID-19.,https://doi.org/10.1016/S2352-3026(20)30109-5,The Lancet: Hematology,Cross-sectional study,"VTE Prophylaxis (Unfractionated heparin, LMWH, pneumatic compression devices)",1026,-,"Anticoagulant drugs are the cornerstone for venous thromboembolism prophylaxis; however, in patients with systemic disease and high bleed risk, dose/combination and addition of mechanical compressions such as elastic compression stockings or intermittent pneumatic compression are warranted","Although we do not know the number of patients with COVID-19 who had venous thromboembolism in this cohort, 40% of patients had a high risk, and an estimated 11% of high-risk patients go on to develop venous thromboembolism without prophylaxis.",Y,4/26/2020
15,2020-04-08,Deep Vein Thrombosis and Pulmonary Embolism: Two Complications of COVID-19 Pneumonia?,https://doi.org/10.12890/2020_001646,European Journal of Case Reports in Internal Medicine,Case-series,"Heparin, standard-dose LMWH, Fondaparinux",2,-,Low-molecular-weight heparin prophylaxis does not decrease the risk of venous thromboembolism (VTE) in COVID-19 pneumonia,we believe that LMWH therapy at a prophylactic dose should be carefully considered in all patients with COVID-19 pneumonia for a longer period than required for clinical resolution of the disease.,-,5/23/2020
16,2020-04-08,Tissue Plasminogen Activator (tPA) Treatment for COVID-19 Associated Acute Respiratory Distress Syndrome (ARDS): A Case Series,https://doi.org/10.1111/jth.14828,Journal of Thrombosis and Hemostasis,Case series,Tissue Plasminogen Activator (tPA),3,"Critically ill, mechanically ventilated, COVID-19 positive patients with ARDS","Fibrinolytic therapy in Acute Lung Injury and ARDS improves survival, which also points to fibrin deposition in the pulmonary microvasculature as a contributory cause of ARDS. It would also be expected in ARDS/DIC in COVID-19.","In all three cases, the patients demonstrated an initial improvement in their P/F ratio, with improvements ranging from a 38% improvement (case 3) to a ~100% improvement (case 1). The observed improvements were durable in one patient but transient and lost over time in two patients after completion of their tPA infusion.",Y,4/26/2020
17,2020-04-02,A novel treatment approach to the novel coronavirus: an argument for the use of therapeutic plasma exchange for fulminant COVID-19,https://ccforum.biomedcentral.com/articles/10.1186/s13054-020-2836-4,BMC Critical Care,Retrospective observational,therapeutic plasma exchange,80,All patients required ≥2 vasopressors and all patients receiving TPE required mechanical ventilator support.,"Therapeutic plasma exchange shows promise, and we propose that randomized trials be designed to investigate further.","Nearly half of the patients in both groups (39/80) presented with pneumonia as the primary source of infection, and a subgroup analysis showed the greatest mortality benefit with TPE in these patients (47.8% mortality vs. 81.3% mortality, p=0.05).",Y,5/23/2020
18,2020-03-27,Anticoagulant treatment is associated with decreased mortality in severe coronavirus disease 2019 patients with coagulopathy.,https://doi.org/10.1111/jth.14817,Journal of Thrombosis and Hemostasis,Retrospective observational study,"Heparin (94 with LMWH, 5 with unfractionated heparin)",449,Severe per Chinese CDC,Anticoagulant therapy mainly with LMWH appears to be associated with better prognosis in severe COVID-19 patients meeting SIC criteria or with markedly elevated D-dimer.,"The parameters of coagulation tests and clinical characteristics between survivors and nonsurvivors were compared (Table 2). Then these parameters were examined in a multivariate logistic regression model to identify independent correlative factor of 28‐day mortality of severe COVID‐19 (Table 3). The D‐dimer, PT, and age were positively, and platelet count was negatively, correlated with 28‐day mortality.",Y,4/26/2020
19,2020-02-29,Therapeutic effects of dipyridamole on COVID-19 patients with coagulation dysfunction,https://doi.org/10.1101/2020.02.27.20027557,MedRxiv,Retrospective observational study,Dipyridamole,124,Cough and shortness of breath,"We found that DIP adjunctive treatment was effective in preventing hypercoagulability if applied early in the severe COVID-19 patients. DIP treatment blunted the increase in D-dimer levels and  increased circulating platelet and leucocytes counts, and thus was associated with overall remarkable clinical cure and remission rates. High levels of D-dimer closely correlated with pulmonary embolism, vascular thrombosis, and renal dysfunction. It is an important prognostic factor of whether ICU-patients may recover from severe infections. As such, the antiviral, anti-inflammatory, and anti-hypercoagulability effects of DIP could reduce the risk of micro-vascular thrombosis in HCoV-19 infected patients.","A retrospective review of the medical records of these patients was conducted to retrieve coagulation indexes and platelet parameters, including prothrombin time (PT), activated partial thromboplastin time (APTT), plasma fibrinogen (FIB), D-dimer, platelet (PLT) count, and mean platelet volume (MPV). Systemic inflammation was assessed according to the C-reactive protein (CRP), procalcitonin (PCT), and interleukin 6 (IL-6) levels.",Y,4/26/2020
